OPOD..,DPOD..,SHIPPER..................,BILLTO..,TR,OS,OCTY......,DS,DCTY......,MVES,RPBM-,FSUR,LMLS,LDYS,EMLS,EDYS,OVCS,MTYV-,TMEV-,LDSV-,FRTQ-,ZIP1..,ZIP2..,ZIP3..,REAL,C: CSR............;C: PLN............;C: SLS............;
AL-ANN,AL-HUN,b: ONLINE FREIGHT SER|   ,227139__,V.,AL,GADSDEN   ,AL,MUSCLE SHO,   1, 2.63, .28, 120, .23,  63, .30,  -9, -267,    1,  381,  115,35055 ,35901 ,35661 ,2.67,MCLSTEUNK|C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED      
AL-ANN,GA-ATL,b: TRANSPLACE        |   ,1111252_,V.,AL,ATTALLA   ,GA,MORROW    ,   1, 2.52, .27, 143, .63,  69, .30,  -8, -275, -171,  -80, -526,35020 ,35954 ,30260 ,2.55,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,GA-ATL,b: TRANSPLACE TEXAS L|   ,1111690_,V.,AL,ATTALLA   ,GA,ATLANTA   ,   1, 2.53, .28, 133,1.23,  70, .30, -10, -300, -429, -186, -915,35020 ,35954 ,30301 ,2.57,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,GA-ATL,b: TRANSPLACE TEXAS L|   ,1111690_,V.,AL,ATTALLA   ,GA,MORROW    ,   2, 2.52, .28, 143, .53,  56, .28,  -9, -300, -128,  -88, -516,36201 ,35954 ,30260 ,2.56,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,GA-GAI,b: MAX TRANS LOGISTIC|   ,229319__,V.,AL,EASTABOGA ,GA,COMMERCE  ,   1, 2.77, .20, 168, .25,  67, .30,   0, -272,   36, -191, -427,35111 ,36260 ,30529 ,2.73,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,GA-GAI,WERNER               |   ,242327__,V.,AL,EASTABOGA ,GA,EASTANOLLE,   2, 2.38, .23, 194, .84,  48, .28,  -2, -217, -218, -227, -662,35901 ,36260 ,30538 ,2.37,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,TN-CHA,b: HIGH TIDE TRANSPOR|   ,1111571_,V.,AL,ANNISTON  ,TN,CHATTANOOG,   5, 2.82, .27, 127, .46,  62, .29,  -8, -349,  -98,   20, -427,35160 ,36201 ,37401 ,2.85,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,TN-JAC,WERNER               |   ,242327__,V.,AL,EASTABOGA ,TN,HUMBOLDT  ,   3, 1.60, .22, 278, .82,  67, .30,  -3, -217,  -53,  -62, -332,35203 ,36260 ,38343 ,1.58,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,TN-KNO,b: MODERN TRANSPORT N|   ,1112269_,V.,AL,EASTABOGA ,TN,MORRISTOWN,   1, 2.07, .28, 277, .70,  61, .30, -19, -265,   -1,   12, -254,35020 ,36260 ,37813 ,2.11,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,TN-MEM,b: ARMSTRONG TRANSPOR|   ,308966__,V.,AL,RAGLAND   ,TN,ARLINGTON ,   1, 1.77, .28, 281, .70,  59, .30, -19, -262,   -1,   -5, -268,35020 ,35131 ,38002 ,1.81,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,TN-NAS,b: COYOTE LOGISTICS  |   ,203482__,V.,AL,ANNISTON  ,TN,NASHVILLE ,   2, 1.99, .19, 238, .82,  76, .30,   4, -284, -119,  -64, -467,35020 ,36201 ,37201 ,1.94,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-ANN,TN-NAS,b: PATHMARK TRANSPORT|   ,264069__,V.,AL,ATTALLA   ,TN,SMYRNA    ,   1, 2.17, .28, 183,1.00, 229, .45, -13, -500, -286,  -91, -877,38301 ,35954 ,37089 ,2.21,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-ANN,TN-NAS,HUHTAMAKI            |   ,1111407_,V.,AL,ATTALLA   ,TN,GOODLETTSV,   1, 2.48, .84, 191, .75,  70, .30,-120, -276, -179,  110, -345,35020 ,35954 ,37070 ,3.08,C: UNASSIGNED        ;P: STEPHANIE......   ;S: UNASSIGNED        ,UNKSTEU
AL-BIR,AL-HUN,b: BNSF LOGISTICS LLC|   ,232148__,V.,AL,BIRMINGHAM,AL,DECATUR   ,   1, 5.67, .27,  84, .11,  13, .25,  -6,    0,    9,  554,  563,35020 ,35203 ,35601 ,5.70,C: UNASSIGNED        ;P: STEPHANIE......   ;S: UNASSIGNED        ,UNKSTEU
AL-BIR,AL-HUN,b: RED DOG LOGISTICS |   ,1112030_,V.,AL,BIRMINGHAM,AL,HUNTSVILLE,   1, 3.25, .27,  99, .17,  19, .25,  -7,    0,  -17,  386,  369,35111 ,35203 ,35801 ,3.28,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,AL-HUN,BFT INC              |   ,1111996_,V.,AL,BIRMINGHAM,AL,STEVENSON ,   3, 3.01, .28, 129, .23,  27, .25,  -9,    0,    1,  422,  423,35020 ,35203 ,35772 ,3.05,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,AL-HUN,BORAL BRICK          |   ,200482__,V.,AL,BESSEMER  ,AL,FLORENCE  ,   8, 2.13, .18, 129, .37,  55, .29,   3,  -64,  -60,  288,  164,36801 ,35020 ,35630 ,2.07,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,AL-HUN,BORAL BRICK          |   ,200482__,V.,AL,BESSEMER  ,AL,MADISON   ,  28, 2.38, .18, 105, .25,  40, .28,   3,  -64,   -8,  292,  220,35203 ,35020 ,35756 ,2.32,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,AL-HUN,PCA MADISON          |   ,263159__,V.,AL,LEEDS     ,AL,MADISON   ,   1, 2.11, .00, 107, .25,  72, .30, -33, -153,   -8,  307,  146,35401 ,35094 ,35756 ,1.87,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,GA-ATL,b: ZENGISTICS INC    |   ,1112033_,V.,AL,WARRIOR   ,GA,LITHIA SPR,   3, 2.65, .27, 154, .63,  47, .27,  -9,  -53, -127,   -4, -184,35203 ,35180 ,30057 ,2.68,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,GA-ATL,LOGISTIC FREIGHT SOLU|   ,1112243_,V.,AL,BIRMINGHAM,GA,EAST POINT,   1, 2.47, .26, 155, .75,  13, .25,  -9,    0, -179,  -32, -211,35020 ,35203 ,30272 ,2.49,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
