OPOD..,DPOD..,SHIPPER..................,BILLTO..,TR,OS,OCTY......,DS,DCTY......,MVES,RPBM-,FSUR,LMLS,LDYS,EMLS,EDYS,OVCS,MTYV-,TMEV-,LDSV-,FRTQ-,ZIP1..,ZIP2..,ZIP3..,REAL,C: CSR............;C: PLN............;C: SLS............;
AL-ANN,IN-EVA,b: C H ROBINSON      |   ,243602__,V.,AL,EASTABOGA ,IN,HUNTINGBUR,   8, 1.46, .27, 410,1.07,  95, .33, -24, -319,  -44,  102, -261,35649 ,36260 ,47542 ,1.51,MGOSTEUNK|C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED      
AL-ANN,KY-LEX,b: C H ROBINSON      |   ,243602__,V.,AL,EASTABOGA ,KY,MOUNT STER,   1, 1.41, .27, 417, .55, 103, .35, -25, -319,   80,  -53, -292,36830 ,36260 ,40353 ,1.46,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-ANN,KY-LEX,b: C H ROBINSON      |   ,243602__,V.,AL,EASTABOGA ,KY,SOMERSET  ,  33, 1.69, .27, 306,1.09,  93, .31, -19, -319,  -61,  -24, -404,35055 ,36260 ,42501 ,1.74,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-BIR,GA-ATL,LOWES MLXP VAN ONE WA|   ,29711___,V.,AL,CALERA    ,GA,NEWNAN    ,   1, 3.18, .21, 150, .20,  80, .30,   0,    0,   51,  337,  388,35055 ,35040 ,30263 ,3.17,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,IL-ELG,b: C H ROBINSON      |   ,243602__,V.,AL,TRUSSVILLE,IL,GURNEE    ,   1, 1.17, .27, 727,1.96, 116, .35,  -2, -140,  -83,  -66, -289,36830 ,35173 ,60031 ,1.22,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-BIR,IN-BLO,b: C H ROBINSON      |   ,243602__,V.,AL,SYLACAUGA ,IN,BLOOMFIELD,   1, 1.18, .27, 482,1.99,  63, .30, -29,  -59, -243, -341, -643,36830 ,35150 ,47424 ,1.23,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-BIR,KY-FLO,b: C H ROBINSON      |   ,243602__,V.,AL,SYLACAUGA ,KY,FLORENCE  ,   4, 1.17, .27, 498,1.11,  47, .29, -30,  -59,  -34, -105, -198,36830 ,35150 ,41022 ,1.22,C: MGO ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MGOSTEU
AL-BIR,MO-SPR,CENTRAL GARDEN AND PE|   ,1111721_,V.,AL,CULLMAN   ,MO,GREENFIELD,   1, 2.04, .21, 534, .88, 161, .40,   0, -199,   39,  229,   69,36801 ,35055 ,65661 ,2.03,C: MLW ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MLWSTEU
AL-BIR,MS-OB.,b: RAPID TRANZ       |   ,1111170_,V.,AL,LEEDS     ,MS,HOLLY SPRI,   1, 1.89, .27, 208, .90, 104, .35, -13, -309,   -1,  361,   51,35756 ,35094 ,38634 ,1.94,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
AL-BIR,NC-RM.,LOWES MLXP VAN ONE WA|   ,29711___,V.,AL,CULLMAN   ,NC,GARYSBURG ,   1, 1.78, .21, 638,1.13, 158, .40,   0, -193,   19,  276,  102,36830 ,35055 ,27831 ,1.77,C: CDS ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,CDSSTEU
AL-BIR,TN-JAC,b: RAPID TRANZ       |   ,1111170_,V.,AL,LEEDS     ,TN,JACKSON   ,   1, 1.40, .27, 240, .90, 100, .30, -14, -309,   -1,  296,  -14,35543 ,35094 ,38301 ,1.45,C: MCL ...........   ;P: STEPHANIE......   ;S: UNASSIGNED        ,MCLSTEU
